[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[03:49:18.581 --> 03:49:21.563]  You get 50% off today.
[03:49:21.563 --> 03:49:25.906]  And this experience, it's a true potential of nature's bounty.
[03:49:25.906 --> 03:49:32.391]  And it supports InfoWar for that true 360 degree win.
[03:49:32.391 --> 03:49:38.515]  In other words, you win and it helps InfoWar keep doing what they're doing.
[03:49:38.515 --> 03:49:42.178]  And again, it's about nature.
[03:49:42.836 --> 03:49:46.118]  Yeah, I agree with science, it has its place, but so does nature.
[03:49:46.118 --> 03:49:52.400]  And again, the book I worked on, the first book I worked on, I didn't write it, I worked on it, Natural Healing, back in 1986.
[03:49:52.400 --> 03:49:58.263]  It was a Warner book, when there was Warner books.
[03:49:58.263 --> 03:50:03.445]  But they tell us to hate nature and only listen to science.
[03:50:03.445 --> 03:50:11.629]  We got this other jerk over here playing Governor, this Huckleberry, Huckle, Huckleberry, Huckle, yeah.
[03:50:12.583 --> 03:50:31.317]  And Kathy Hochul, and a couple of, several weeks ago she was talking to this Christian congregation in Brooklyn, and she said, I prayed a lot to God during this time, and you know what?
[03:50:31.317 --> 03:50:34.199]  God did answer our prayers.
[03:50:34.199 --> 03:50:34.760]  You ready?
[03:50:34.760 --> 03:50:36.501]  Here's what God did, you ready?
[03:50:42.068 --> 03:50:42.568]  God did.
[03:50:42.568 --> 03:50:52.890]  He made the smartest men and women, the scientists, the doctors, the researchers.
[03:50:52.890 --> 03:50:57.151]  He made them come up with a vaccine.
[03:50:57.151 --> 03:51:00.392]  That is from God to us.
[03:51:00.392 --> 03:51:03.272]  And we must say, thank you, God.
[03:51:03.272 --> 03:51:04.273]  Thank you.
[03:51:04.273 --> 03:51:05.753]  I would tell her to go F yourself.
[03:51:05.753 --> 03:51:08.773]  Who the hell you think you're talking to?
[03:51:08.773 --> 03:51:09.934]  God created this?
[03:51:09.934 --> 03:51:11.034]  Hey,
[03:51:11.926 --> 03:51:14.327]  The Pfizer guys.
[03:51:14.327 --> 03:51:15.528]  Yeah.
[03:51:15.528 --> 03:51:16.329]  BioNTech.
[03:51:16.329 --> 03:51:16.969]  Yeah.
[03:51:16.969 --> 03:51:20.551]  That we paid and the Germans paid to make it happen.
[03:51:20.551 --> 03:51:22.632]  God had nothing to do with this.
[03:51:22.632 --> 03:51:27.656]  Maybe you're evil, God, and you're ready for this?
[03:51:27.656 --> 03:51:32.018]  I need you to be my apostle, she says.
[03:51:32.018 --> 03:51:34.540]  These are the freaks running this show.
[03:51:34.540 --> 03:51:36.401]  Got it?
[03:51:36.401 --> 03:51:37.421]  Anyway.
[03:51:37.421 --> 03:51:37.942]  Yeah.
[03:51:37.942 --> 03:51:41.364]  And this is how, again, you look at the current events, slowing future trends.
[03:51:42.853 --> 03:51:52.420]  This goes back a year ago, September 29, 2020.
[03:51:52.420 --> 03:51:57.824]  Big story in the toilet paper record, the New York Times.
[03:51:57.824 --> 03:52:03.948]  Super healthy college student dies of rare COVID-19 complications.
[03:52:03.948 --> 03:52:07.331]  What are you telling me one person died for?
[03:52:07.331 --> 03:52:10.153]  How about telling us all the people that are dying from the vaccine?
[03:52:11.169 --> 03:52:12.289]  No, we're not going to do that.
[03:52:12.289 --> 03:52:13.930]  That would be a conspiracy theory.
[03:52:13.930 --> 03:52:18.432]  We have to sell fear and hysteria.
[03:52:18.432 --> 03:52:19.692]  And there's stupid credit.
[03:52:19.692 --> 03:52:22.653]  This guy Baldwin blowing it, killing that woman.
[03:52:22.653 --> 03:52:23.854]  Oh, there's news?
[03:52:23.854 --> 03:52:25.354]  Is there news?
[03:52:25.354 --> 03:52:28.996]  Hey, how about all the people who are being killed in Yemen every day?
[03:52:28.996 --> 03:52:32.597]  Thanks to Obama.
[03:52:32.597 --> 03:52:33.958]  Yeah.
[03:52:33.958 --> 03:52:38.019]  And Libya and Syria.
[03:52:38.019 --> 03:52:39.480]  Oh, you like the Afghan war?
[03:52:39.480 --> 03:52:40.480]  Don't talk about that.
[03:52:41.690 --> 03:52:44.571]  It is that story.
[03:52:44.571 --> 03:52:47.552]  Soup healthy college student dies of rare cocaine.
[03:52:47.552 --> 03:52:50.032]  Why not tell us what's going on?
[03:52:50.032 --> 03:52:53.033]  That woman and her boyfriend that they just found that died?
[03:52:53.033 --> 03:52:54.053]  What do I care?
[03:52:54.053 --> 03:52:54.954]  I'm sorry they died.
[03:52:54.954 --> 03:52:55.914]  What the hell do I care?
[03:52:55.914 --> 03:52:56.754]  That's not news!
[03:52:56.754 --> 03:52:57.714]  That's not news!
[03:53:01.343 --> 03:53:02.784]  It's terrible it happened.
[03:53:02.784 --> 03:53:10.230]  Hey, how about all the people's brains are getting blown out by the homicides since the COVID war began that I had forecast.
[03:53:10.230 --> 03:53:15.134]  When people lose everything and have nothing left to lose, they lose it.
[03:53:15.134 --> 03:53:17.536]  But of course, who isn't losing it?
[03:53:17.536 --> 03:53:19.818]  Ah, the equity markets.
[03:53:19.818 --> 03:53:25.863]  So quickly with that, Dow hitting another high.
[03:53:25.863 --> 03:53:27.584]  Corporations are making money.
[03:53:27.584 --> 03:53:29.766]  Yep, because they have no competition.
[03:53:30.529 --> 03:53:33.850]  That's why the profits are going up.
[03:53:33.850 --> 03:53:35.491]  Bitcoin, we nailed it.
[03:53:35.491 --> 03:53:37.112]  We nailed it in the Trends Journal.
[03:53:37.112 --> 03:53:41.153]  We said when the breakout points would happen, they're happening.
[03:53:41.153 --> 03:53:42.114]  And where's it going?
[03:53:42.114 --> 03:53:44.355]  Again, we're putting this in the Trends Journal.
[03:53:44.355 --> 03:53:45.015]  Hit it.
[03:53:45.015 --> 03:53:51.077]  Today, gold up about $13 an ounce.
[03:53:51.077 --> 03:53:52.678]  It's back over the $1,800 mark.
[03:53:52.678 --> 03:53:54.639]  It has to get stronger over this.
[03:53:54.639 --> 03:53:58.480]  If the money wasn't going into crypto, gold would be now, poof, about $2,200.
[03:54:00.875 --> 03:54:03.035]  $2,200 an ounce easily.
[03:54:03.035 --> 03:54:05.316]  Silver would be like $80 an ounce.
[03:54:05.316 --> 03:54:09.096]  But the money's going into cryptos and it's going to keep going in there.
[03:54:09.096 --> 03:54:10.857]  Until they stop it.
[03:54:10.857 --> 03:54:12.997]  And the Chinese are going to be the first ones to stop it.
[03:54:12.997 --> 03:54:18.778]  As they stop it, now the United States is the biggest Bitcoin miner in the world.
[03:54:18.778 --> 03:54:23.759]  So as long as there's no regulations to stop it, it's going to keep going.
[03:54:23.759 --> 03:54:25.939]  And this inflation is real.
[03:54:25.939 --> 03:54:28.080]  Remember that clown Powell?
[03:54:28.080 --> 03:54:29.220]  The guy playing our
[03:54:30.931 --> 03:54:32.972]  Federal Reserve Chairman?
[03:54:32.972 --> 03:54:35.094]  That also did dirty inside dealing?
[03:54:35.094 --> 03:54:36.074]  Yeah, that one.
[03:54:36.074 --> 03:54:46.561]  Along with that scumbag Kaplan over there, who just retired from the bank over there, the Fed Bank in Texas?
[03:54:46.561 --> 03:54:47.821]  The president of that?
[03:54:47.821 --> 03:54:48.842]  Yeah.
[03:54:48.842 --> 03:54:52.164]  And Rosengren up here in Massachusetts?
[03:54:52.164 --> 03:54:56.787]  Yeah, yeah.
[03:54:56.787 --> 03:54:58.088]  Dorsey warns a surgeon?
[03:54:58.088 --> 03:55:00.289]  Well, if Dorsey warns it, then I guess I must be right.
[03:55:01.078 --> 03:55:04.819]  Yeah?
[03:55:04.819 --> 03:55:11.681]  I said this in the Jones Journal over a year ago, while Powell was saying it was temporary.
[03:55:11.681 --> 03:55:14.301]  Then it went to transitory.
[03:55:14.301 --> 03:55:19.002]  And now they're saying, well, they're blaming it on supply chain disruptions.
[03:55:19.002 --> 03:55:22.783]  Hey, it's not supply chain disruptions.
[03:55:22.783 --> 03:55:26.924]  It's all the cheap money you pumped into the markets that nobody talks about.
[03:55:26.924 --> 03:55:30.685]  It's your zero interest rate policy and negative
[03:55:31.081 --> 03:55:34.302]  Interest rate policy in Europe.
[03:55:34.302 --> 03:55:37.222]  And that guy Draghi, the Italians, I'm ashamed of them.
[03:55:37.222 --> 03:55:41.403]  They brought him in, the former head of the ECB, as their prime minister.
[03:55:41.403 --> 03:55:43.023]  Prime crap.
[03:55:43.023 --> 03:55:50.624]  Prime murderer.
[03:55:50.624 --> 03:55:54.705]  This is going back to, again, going back to old articles.
[03:55:54.705 --> 03:55:59.566]  Pandemic condemns $38 million to poverty in East Asia, World Bank warns.
[03:55:59.566 --> 03:56:00.206]  You know what that was?
[03:56:01.030 --> 03:56:02.751]  A year ago.
[03:56:02.751 --> 03:56:03.931]  December 2020.
[03:56:03.931 --> 03:56:08.813]  And here's another one.
[03:56:08.813 --> 03:56:11.195]  New survey.
[03:56:11.195 --> 03:56:13.235]  September 28, 2020.
[03:56:13.235 --> 03:56:16.957]  A year ago.
[03:56:16.957 --> 03:56:25.321]  Yes, Americans will give up liberties to fight the coronavirus.
[03:56:25.321 --> 03:56:25.801]  You got it.
[03:56:31.685 --> 03:56:46.970]  And this is... We surveyed more than 12,000 Americans asking them whether the government should have the power to enact policies that restrict rights and freedoms to protect public health during a coronavirus pandemic.
[03:56:46.970 --> 03:56:52.451]  And this is Qualtrics.
[03:56:52.451 --> 03:56:53.772]  Okay?
[03:56:53.772 --> 03:56:55.332]  The robbing us of our freedom.
[03:56:56.164 --> 03:57:01.985]  We're uniting, the Universal Church is uniting for freedom, peace and justice.
[03:57:01.985 --> 03:57:04.146]  We don't want these people.
[03:57:04.146 --> 03:57:11.567]  We want that irate, tireless minority keen on setting brush fires of freedom in the minds of men.
[03:57:11.567 --> 03:57:22.169]  Freedompeacejustice.com and we're offering religious exemptions and again the Constitution part
[03:57:23.041 --> 03:57:31.183]  The First Amendment stealing our rights from us, our religious rights, was done by a top judge, constitutional judge.
[03:57:31.183 --> 03:57:32.963]  This is the real thing.
[03:57:32.963 --> 03:57:36.484]  And again, support InfoWars.
[03:57:36.484 --> 03:57:41.745]  Do anything you can to keep the truth alive, because they're going to keep trying to steal it from us.
[03:57:41.745 --> 03:57:43.485]  Thank you for tuning in.
[03:57:43.485 --> 03:57:44.085]  See you next week.
[03:57:47.614 --> 03:58:09.723]  I'm sitting here, it's in the early morning hours, and I'm looking at mainstream news reporting on the fact that even the controlled revolving door FDA has come out and said that the Moderna and Pfizer shots need to be held up and not authorized for children because in studies they did on children it caused myocarditis, that's heart swelling and heart attacks.
[03:58:10.979 --> 03:58:15.962]  And then I noticed that even though this is even in the Associated Press, it's not getting any circulation.
[03:58:15.962 --> 03:58:17.684]  It's not on the national news.
[03:58:17.684 --> 03:58:20.105]  And it's very hard to even find on places like Instagram or Twitter.
[03:58:20.105 --> 03:58:21.066]  It's just crazy.
[03:58:21.066 --> 03:58:26.469]  And then Fauci was on TV just yesterday saying there's no damage from the vaccines.
[03:58:26.469 --> 03:58:27.870]  It doesn't hurt anybody.
[03:58:27.870 --> 03:58:30.152]  You're a conspiracy theorist if you say it.
[03:58:30.152 --> 03:58:31.513]  It's just crazy.
[03:58:31.513 --> 03:58:36.416]  And then we have all the scientists who over a year ago came out and said these vaccines are going to cause heart problems.
[03:58:36.416 --> 03:58:39.438]  They gave the exact reasons why and now it happened.
[03:58:39.438 --> 03:58:40.819]  That's why InfoWars is on air.
[03:58:41.339 --> 03:58:44.421]  Because if we weren't on air, they'd get away with even more of this crap.
[03:58:44.421 --> 03:58:45.442]  This is just insane.
[03:58:45.442 --> 03:58:46.763]  These people are killers.
[03:58:46.763 --> 03:58:51.607]  I've been fighting as hard as I can for almost 28 years against the globalists.
[03:58:51.607 --> 03:58:53.668]  I wanted to stop their agenda.
[03:58:53.668 --> 03:58:59.152]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[03:58:59.152 --> 03:59:00.253]  But we failed.
[03:59:00.253 --> 03:59:01.914]  Yes, a lot of people are awake.
[03:59:01.914 --> 03:59:03.415]  Yes, we're not getting caught flat-footed.
[03:59:03.755 --> 03:59:09.640]  But they are going ahead with their full operational deindustrialization, Great Reset.
[03:59:09.640 --> 03:59:18.566]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[03:59:18.566 --> 03:59:24.091]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[03:59:24.091 --> 03:59:26.653]  And one of the number one things to do is high quality, storable food.
[03:59:26.653 --> 03:59:29.475]  We've got the best food ready to ship at very affordable prices.
