[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[03:47:24.110 --> 03:47:28.714]  Harping on the war as we fight and griping about the way things ought to be.
[03:47:28.714 --> 03:47:30.315]  It's hard to turn off Merle Haggard, isn't it?
[03:47:31.800 --> 03:47:38.082]  I want to finish up with Tom Papert and Owen Schroer, but let me add one more little dessert or addendum to what I said.
[03:47:38.082 --> 03:47:40.622]  Is it satanic to climb Mount Everest?
[03:47:40.622 --> 03:47:42.683]  And I don't think the answer is yes.
[03:47:42.683 --> 03:47:44.303]  It's in all of our hearts what we do.
[03:47:44.303 --> 03:47:46.724]  And the first people to do it, I get it.
[03:47:46.724 --> 03:47:48.484]  But now it's 4,000 plus.
[03:47:48.484 --> 03:47:51.345]  Now there's all these books out about billionaires doing it.
[03:47:51.345 --> 03:47:53.786]  And it becomes a ding-dong measuring contest.
[03:47:54.426 --> 03:48:05.960]  When all these hundreds are backed up every day trying to get to the top and everybody's bitching and complaining and they want traffic guards up at the... Imagine if these people put that energy into other things in their lives.
[03:48:05.960 --> 03:48:08.002]  Imagine how much better the world would be.
[03:48:08.002 --> 03:48:10.725]  I'm not saying take away their right to go up there.
[03:48:10.725 --> 03:48:14.069]  I don't want to pay for helicoptering their dead bodies off.
[03:48:14.750 --> 03:48:21.274]  Just like you want to go to some doctor and have your Johnson and your Wavos cut off, knock yourself out, man.
[03:48:21.274 --> 03:48:22.935]  I'm a libertarian.
[03:48:22.935 --> 03:48:26.376]  The mentally ill people want to cut their fingers off and jump off bridges.
[03:48:26.376 --> 03:48:30.939]  As long as you don't hurt somebody, I'm sad for you, but do it.
[03:48:30.939 --> 03:48:31.619]  I'm a libertarian.
[03:48:31.619 --> 03:48:34.281]  You want to get a bunch of heroin and kill yourself, that's your business.
[03:48:34.281 --> 03:48:39.624]  I don't want to pay for you to go to the top of mountains or cut your ding-a-ling off.
[03:48:39.624 --> 03:48:41.705]  And, you know, I hope you won't do it.
[03:48:42.622 --> 03:48:50.784]  But all I'm saying is, it's getting sick when they bitch and complain in the news about how there's traffic jams going to the top of this mountain.
[03:48:50.784 --> 03:48:51.844]  It gets sick.
[03:48:51.844 --> 03:48:53.205]  I love rugged individualism.
[03:48:53.205 --> 03:48:54.465]  I love trailblazing.
[03:48:54.465 --> 03:49:01.147]  Lewis and Clark were risking their lives, but they were getting a western passage to the Pacific Ocean for a reason.
[03:49:01.147 --> 03:49:06.148]  They were risking their lives to do something new, not to prove how tough they were.
[03:49:07.932 --> 03:49:14.539]  Now let's shift gears with Tom Papert, great manager at KCTU5 in Wichita, Kansas, that carries us.
[03:49:14.539 --> 03:49:19.303]  Huawei CEO says China shouldn't punish Apple.
[03:49:19.303 --> 03:49:23.207]  Boy, I saw that CNN headline this morning and I knew I was going to read.
[03:49:23.207 --> 03:49:25.670]  Apple has become state-run a year ago.
[03:49:25.670 --> 03:49:27.712]  They moved to China over a year ago.
[03:49:27.712 --> 03:49:28.833]  They're with the Communist Party.
[03:49:30.168 --> 03:49:31.628]  Huawei's Communist Party run.
[03:49:31.628 --> 03:49:32.969]  It's spying on all the devices.
[03:49:32.969 --> 03:49:34.049]  It's getting banned all over the world.
[03:49:34.049 --> 03:49:35.209]  They got caught.
[03:49:35.209 --> 03:49:36.810]  So CNN has this pup piece out.
[03:49:36.810 --> 03:49:40.110]  Trump's meme for the poor little baby Huawei.
[03:49:40.110 --> 03:49:43.131]  So now his teacher is Apple.
[03:49:43.131 --> 03:49:49.553]  Even though he's about to replace Apple sales in Europe and in Asia and what they call Greater China, Taiwan.
[03:49:49.553 --> 03:49:51.313]  It's all Qaicom written.
[03:49:52.912 --> 03:50:02.862]  He's like, oh don't mess with Apple, because it's Chai Com run now too, and they've got the code keys, and they admit they're spying on you through Apple just as bad as Huawei!
[03:50:02.862 --> 03:50:10.069]  So he's like, oh, we don't want to kick them out of China, or, oh no, Apple, good.
[03:50:10.069 --> 03:50:12.872]  Good, Apple.
[03:50:12.872 --> 03:50:15.215]  This is sick.
[03:50:15.215 --> 03:50:16.356]  He thinks you're a moron.
[03:50:17.779 --> 03:50:19.480]  Daughters in prison right now.
[03:50:19.480 --> 03:50:24.585]  China State TV carries Daily Show, spot on Huawei lead in 5G.
[03:50:24.585 --> 03:50:33.632]  So don't worry, the Daily Show, pissing all over America, it's on in China, but they don't want anything else from the West Air there.
[03:50:33.632 --> 03:50:36.295]  Again, shy, calm propaganda.
[03:50:36.295 --> 03:50:37.496]  Tom Papert, unbelievable.
[03:50:38.834 --> 03:50:45.898]  The Daily Show wants us off air, cheers it, has celebrations, so do the other big so-called comedians, who are really just fake news.
[03:50:45.898 --> 03:51:06.290]  But the Chinese government's funding six of the big eight Hollywood production houses, and they're funding, on record, the major production operations, like the folks over at Netflix, and now they are openly involved, airing The Daily Show.
[03:51:07.031 --> 03:51:12.125]  When you know the Communist Chinese have approved of The Daily Show, you know The Daily Show is really bad news.
[03:51:13.533 --> 03:51:21.917]  You know, it does actually relate really well to what we were talking about in the last segment, because China, the elite people in China, their god is power.
[03:51:21.917 --> 03:51:24.898]  And then you've got Tim Cook, his god is money.
[03:51:24.898 --> 03:51:35.183]  He thinks that if he merges his company with China, then oh boy, we're going to get billions of new people who will all buy an iPhone and an iPad and it'll just be wonderful and we'll make so much money.
[03:51:35.183 --> 03:51:36.824]  Who needs those stupid Americans?
[03:51:36.824 --> 03:51:40.566]  There's only 350 million of them and another 30, 40 million illegals.
[03:51:40.566 --> 03:51:42.066]  That's chump change.
[03:51:42.066 --> 03:51:43.187]  We're going to China.
[03:51:43.547 --> 03:51:47.250]  And so he's essentially sacrificing his soul to China.
[03:51:47.250 --> 03:51:49.632]  Same exact thing with these Hollywood production houses.
[03:51:49.632 --> 03:51:53.715]  They're not concerned about what Americans want to see when they go to the theater.
[03:51:53.715 --> 03:51:55.537]  We're a relatively small audience.
[03:51:55.537 --> 03:52:04.044]  They want to be one of the two or three or four American movies that gets brought into China so they can get all of those box office sales.
[03:52:04.044 --> 03:52:08.748]  And again, they don't want people like you, Alex, because you're the one sitting there saying, wait a minute.
[03:52:09.288 --> 03:52:19.239]  You are selling your soul to the devil for a couple bucks, selling your country down the line, selling it out, ruining everything the West was built on, everything America was built on.
[03:52:19.239 --> 03:52:20.880]  Tom, let me go further than that.
[03:52:20.880 --> 03:52:22.142]  Let me go further than that.
[03:52:22.142 --> 03:52:25.525]  It's not just me up here saying this and I'm something special.
[03:52:26.266 --> 03:52:29.308]  Communist China has killed way more than Hitler ever killed.
[03:52:29.308 --> 03:52:30.448]  They're totally soulless.
[03:52:30.448 --> 03:52:31.689]  They feed on their own people.
[03:52:31.689 --> 03:52:32.890]  Slave factories.
[03:52:32.890 --> 03:52:38.473]  And then Tim Cook, who owns the worst factories under Foxconn in China, says, I'm dangerous and deplorable.
[03:52:38.473 --> 03:52:39.854]  I need to be banned from the web.
[03:52:39.854 --> 03:52:41.595]  He has no moral standing.
[03:52:41.595 --> 03:52:42.676]  He's out of control.
[03:52:42.676 --> 03:52:43.176]  Owen Schroer.
[03:52:44.687 --> 03:52:52.932]  Well, I'm just amazed that anybody wants to air The Daily Show with that guy who's not even funny.
[03:52:52.932 --> 03:52:58.496]  These comedy special nightly shows haven't been funny in years, as far as I'm concerned.
[03:52:58.496 --> 03:53:02.278]  So I think it really just goes to show you they want the anti-Trump propaganda in there.
[03:53:02.278 --> 03:53:03.819]  It's not even about entertainment.
[03:53:03.819 --> 03:53:10.123]  I mean, hell, we could do a comedy bit right now without teleprompters and it'd be funnier than anything The Daily Show ever did.
[03:53:11.223 --> 03:53:19.846]  But, you know, I do want to point this out too, because I think it is the same kind of attack on our humanity, and I know it's a totally different subject, but there may be a connection here.
[03:53:19.846 --> 03:53:25.648]  Sex robot threat, AI girlfriends indistinguishable from humans after major 5G upgrade.
[03:53:26.728 --> 03:53:31.913]  So, first of all, to say that you can't tell a robot from a human is obviously fake news.
[03:53:31.913 --> 03:53:33.574]  But that's the whole point.
[03:53:33.574 --> 03:53:35.155]  Well, what's the difference?
[03:53:35.155 --> 03:53:35.876]  It's a robot.
[03:53:35.876 --> 03:53:36.877]  It's taking care of you.
[03:53:36.877 --> 03:53:38.718]  And they teach the women to hate men.
[03:53:38.718 --> 03:53:42.901]  And, you know, like the new Blade Runner, oh, he's in love with his virtual girlfriend.
[03:53:42.901 --> 03:53:45.443]  So the virtual girlfriend will tell you whatever you want to hear.
[03:53:45.443 --> 03:53:48.326]  Just like Japan, the men aren't even having wives anymore.
[03:53:48.326 --> 03:53:51.228]  It's the end of humanity as we know it.
[03:53:51.228 --> 03:53:52.069]  And I don't feel fine.
[03:53:52.952 --> 03:53:55.053]  So I just wanted to put that out there before we sign off.
[03:53:55.053 --> 03:53:59.114]  But there's going to be a lot to get to the rest of the way this week, Alex.
[03:53:59.114 --> 03:54:01.936]  There's going to be some social media news coming out.
[03:54:01.936 --> 03:54:06.037]  There's going to be some interesting, I think, debates about foreign invasions happening, too.
[03:54:06.037 --> 03:54:09.779]  We got a private wall that just went up in New Mexico.
[03:54:09.779 --> 03:54:12.099]  So it's going to be a crazy broadcast week here.
[03:54:12.099 --> 03:54:15.841]  And let's not forget, Alex, that Trump is moving against the treasonous Deep State.
[03:54:16.291 --> 03:54:16.831]  That's right.
[03:54:16.831 --> 03:54:17.871]  Eric Prince of all people.
[03:54:17.871 --> 03:54:19.712]  Let's play the clip since you mentioned it.
[03:54:19.712 --> 03:54:27.554]  Eric Prince of Blackwater fame is actually financing a wall, a private wall.
[03:54:27.554 --> 03:54:31.336]  We build the wall in New Mexico where everything is collapsing.
[03:54:31.336 --> 03:54:42.119]  Here's a clip of that.
[03:54:42.119 --> 03:54:46.200]  Look, since Prince is involved, all this fancy is working just fine.
[03:54:49.212 --> 03:54:50.473]  Radio listeners are missing this.
[03:54:50.473 --> 03:55:02.903]  It's at Infowars.com forward slash show.
[03:55:02.903 --> 03:55:07.446]  Lux Hawks bottom line, Tom Pappert, this country is under globalist attack.
[03:55:07.446 --> 03:55:08.988]  I have a stack of news right here.
[03:55:09.867 --> 03:55:19.894]  Where New Mexico that's run by a leftist says, oh my god, get here, help us, millions are pouring across, holy hell, just a few months ago she was making jokes.
[03:55:19.894 --> 03:55:25.698]  Look, Trump doesn't have the courts, he doesn't have the troops, he doesn't have anything, so I'm glad he's going to bust into leftist areas.
[03:55:25.698 --> 03:55:31.122]  I'm not glad they're here, but at least this is showing the dumbass left what it's like in red states.
[03:55:32.329 --> 03:55:36.592]  That's absolutely right, and it's the opposite of what Obama did during all his eight years.
[03:55:36.592 --> 03:55:38.253]  He wanted to put them in the red states.
[03:55:38.253 --> 03:55:45.557]  That's why we have the Hamas caucus in Congress now, because you put enough Somali refugees there, and suddenly they vote one of their own in.
[03:55:45.557 --> 03:55:48.139]  I mean, it is refreshing to see the pressure apply.
[03:55:48.139 --> 03:55:52.182]  We love our Somalis, we love our Muslims too.
[03:55:52.182 --> 03:55:52.422]  Sorry.
[03:55:53.277 --> 03:55:56.458]  You're gonna stab your daughter at the mall, and that's exactly where that happened!
[03:55:56.458 --> 03:55:59.019]  I mean, it's... We laughed, and it was funny, and that's where it happened!
[03:55:59.019 --> 03:56:00.580]  Gonna throw your white baby off the mall!
[03:56:00.580 --> 03:56:00.660]  Woo!
[03:56:00.660 --> 03:56:02.841]  Throw that baby off the mall!
[03:56:02.841 --> 03:56:04.421]  Woo!
[03:56:04.421 --> 03:56:06.382]  Watch baby's head hit the ground!
[03:56:06.382 --> 03:56:07.542]  Woo!
[03:56:07.542 --> 03:56:12.184]  And the police chief's gonna say, we love our Somalis!
[03:56:12.184 --> 03:56:14.325]  We love our Muslims too!
[03:56:14.325 --> 03:56:15.466]  Oh, they're so good!
